rank,name,region
1001+,Austral University of Chile,Chile
1001+,Autonomous University of Baja California,Mexico
1001+,Başkent University,Turkey
1001+,Benemérita Universidad Autónoma de Puebla,Mexico
1001+,Bezmiâlem Vakif University,Turkey
1001+,Bharati Vidyapeeth University,India
1001+,Bogomolets National Medical University,Ukraine
1001+,Bolu Abant Izzet Baysal University,Turkey
1001+,Bozok University,Turkey
1001+,Burapha University,Thailand
1001+,Ceará State University,Brazil
1001+,CES University,Colombia
1001+,Cukurova University,Turkey
1001+,Czech Technical University in Prague,Czechia
1001+,Damascus University,Syria
1001+,Del Rosario University,Colombia
1001+,Diponegoro University,Indonesia
1001+,Duzce University,Turkey
1001+,El Bosque University,Colombia
1001+,Erzincan Binali Yıldırım University,Turkey
1001+,Eskişehir Osmangazi University,Turkey
1001+,Federal University of Lavras,Brazil
1001+,Federal University of Mato Grosso do Sul,Brazil
1001+,Federal University of Pará,Brazil
1001+,Federal University of Pernambuco,Brazil
1001+,Federal University of Viçosa,Brazil
1001+,Galgotias University,India
1001+,Gaziantep University,Turkey
1001+,GITAM University,India
1001+,Grigore T. Popa University of Medicine and Pharmacy,Romania
1001+,Hasanuddin University,Indonesia
1001+,Hitit University,Turkey
1001+,Hormozgan University of Medical Sciences,Iran
1001+,Hue University,Vietnam
1001+,Inönü University,Turkey
1001+,Istanbul Aydın University,Turkey
1001+,Istanbul Medipol University,Turkey
1001+,İstinye University,Turkey
1001+,Jan Kochanowski University in Kielce,Poland
1001+,Kanazawa Medical University,Japan
1001+,Karabük University,Turkey
1001+,Karadeniz Technical University,Turkey
1001+,Kirikkale University,Turkey
1001+,Kırşehir Ahi Evran University,Turkey
1001+,Kocaeli University,Turkey
1001+,Ladoke Akintola University of Technology,Nigeria
1001+,Lagos State University,Nigeria
1001+,Mahasarakham University,Thailand
1001+,Manisa Celal Bayar University,Turkey
1001+,Menoufia University,Egypt
1001+,Mersin University,Turkey
1001+,Misr University for Science and Technology,Egypt
1001+,Mugla Sitki Kocman University,Turkey
1001+,Muhimbili University of Health and Allied Sciences,Tanzania
1001+,Mustansiriyah University,Iraq
1001+,Naresuan University,Thailand
1001+,National University of Medical Sciences (NUMS),Pakistan
1001+,Nitte (Deemed to be University),India
1001+,Nnamdi Azikiwe University,Nigeria
1001+,Ondokuz Mayis University,Turkey
1001+,Ordu University,Turkey
1001+,Ovidius University of Constanța,Romania
1001+,Pamukkale University,Turkey
1001+,Pontifical Catholic University of Minas Gerais,Brazil
1001+,Recep Tayyip Erdoğan University,Turkey
1001+,Sakarya University,Turkey
1001+,Sefako Makgatho Health Sciences University,South Africa
1001+,Shanxi Medical University,China
1001+,Sivas Cumhuriyet University,Turkey
1001+,Sohag University,Egypt
1001+,Srinakharinwirot University,Thailand
1001+,Sri Ramachandra Institute of Higher Education and Research,India
1001+,State University of Bahia,Brazil
1001+,State University of Ponta Grossa,Brazil
1001+,Thammasat University,Thailand
1001+,Tokat Gaziosmanpaşa University,Turkey
1001+,Tokyo Metropolitan University,Japan
1001+,Trakya University,Turkey
1001+,Transilvania University of Brașov,Romania
1001+,Universidad Andrés Bello (UNAB),Chile
1001+,Universidad Autónoma del Estado de Mexico (UAEMex),Mexico
1001+,Universidad Autónoma de Nuevo León (UANL),Mexico
1001+,Universidad Científica del Sur,Peru
1001+,Universidad del Valle,Colombia
1001+,Universidade do Estado de Santa Catarina,Brazil
1001+,Universidade Estadual de Feira de Santana (UEFS),Brazil
1001+,Universidade Estadual de Maringá,Brazil
1001+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil
1001+,Universidade Federal do Maranhão (UFMA),Brazil
1001+,Universidade Nove de Julho (Uninove),Brazil
1001+,Universidad Industrial de Santander (UIS),Colombia
1001+,Universidad Mayor,Chile
1001+,Universidad Peruana de Ciencias Aplicadas (UPC),Peru
1001+,Universidad Pontificia Bolivariana (UPB),Colombia
1001+,Universidad San Ignacio de Loyola,Peru
1001+,Universidad Santo Tomás,Chile
1001+,Universitas Andalas,Indonesia
1001+,Universitas Sebelas Maret,Indonesia
1001+,Universitas Sumatera Utara,Indonesia
1001+,Université Hassan II de Casablanca,Morocco
1001+,Université Mohammed Premier,Morocco
1001+,Universiti Teknologi MARA,Malaysia
1001+,University for Development Studies,Ghana
1001+,University of Babylon,Iraq
1001+,University of Baghdad,Iraq
1001+,University of Basrah,Iraq
1001+,University of Brawijaya,Indonesia
1001+,University of Évora,Portugal
1001+,University of Fortaleza (UNIFOR),Brazil
1001+,University of Guadalajara,Mexico
1001+,University of Guanajuato,Mexico
1001+,University of Kelaniya,Sri Lanka
1001+,University of La Sabana,Colombia
1001+,University of Las Américas (UDLA),Ecuador
1001+,University Cadi Ayyad of Marrakech,Morocco
1001+,University of Montenegro,Montenegro
1001+,University of Mosul,Iraq
1001+,University of Pernambuco,Brazil
1001+,University of Phayao,Thailand
1001+,University of Port Harcourt,Nigeria
1001+,University of Prishtina,Kosovo
1001+,University of Rijeka,Croatia
1001+,University of Rwanda,Rwanda
1001+,University of Sarajevo,Bosnia and Herzegovina
1001+,University of Sousse,Tunisia
1001+,University of Sri Jayewardenepura,Sri Lanka
1001+,University of Talca,Chile
1001+,University of Valparaíso,Chile
1001+,University of West Attica,Greece
1001+,Uşak University,Turkey
1001+,Uzhhorod National University,Ukraine
1001+,Van Yüzüncü Yil University,Turkey
1001+,Vinayaka Mission’s Research Foundation,India
1001+,V.N. Karazin Kharkiv National University,Ukraine
1001+,Zonguldak Bülent Ecevit University,Turkey
